fd_id,depth_Base_075,depth_Base_100,depth_Base_125,depth_Base_150,depth_Base_175,depth_Base_200,depth_Base_225,depth_Base_250,depth_Base_275,depth_Base_300,depth_Base_325,depth_Base_350,depth_Base_375,depth_Base_400,depth_Levee_075,depth_Levee_100,depth_Levee_125,depth_Levee_150,depth_Levee_175,depth_Levee_200,depth_Levee_225,depth_Levee_250,depth_Levee_275,depth_Levee_300,depth_Levee_325,depth_Levee_350,depth_Levee_375,depth_Levee_400,naccs_loss_Base_075,naccs_loss_Base_100,naccs_loss_Base_125,naccs_loss_Base_150,naccs_loss_Base_175,naccs_loss_Base_200,naccs_loss_Base_225,naccs_loss_Base_250,naccs_loss_Base_275,naccs_loss_Base_300,naccs_loss_Base_325,naccs_loss_Base_350,naccs_loss_Base_375,naccs_loss_Base_400,naccs_loss_Levee_075,naccs_loss_Levee_100,naccs_loss_Levee_125,naccs_loss_Levee_150,naccs_loss_Levee_175,naccs_loss_Levee_200,naccs_loss_Levee_225,naccs_loss_Levee_250,naccs_loss_Levee_275,naccs_loss_Levee_300,naccs_loss_Levee_325,naccs_loss_Levee_350,naccs_loss_Levee_375,naccs_loss_Levee_400,loss_diff_125,loss_diff_150,loss_diff_175,loss_diff_200,loss_diff_225,loss_diff_250,loss_diff_275,loss_diff_300,loss_diff_325,loss_diff_350,loss_diff_375,loss_diff_400,depth_diff_075,depth_diff_100,depth_diff_125,depth_diff_150,depth_diff_175,depth_diff_200,depth_diff_225,depth_diff_250,depth_diff_275,depth_diff_300,depth_diff_325,depth_diff_350,depth_diff_375,depth_diff_400,bg_id
529139708,-1.3226,-1.3226,-1.3226,-0.5226,0.37739999999999996,1.1774,1.9774,2.7774,3.5774,4.4774,5.2774,6.0774,6.8774,7.6774,-1.3226,-1.3226,-1.3226,-1.3226,-1.3226,-1.3226,-1.3226,-1.3226,-1.3226,4.4774,5.2774,6.0774,6.8774,7.6774,5020.94164161835,4981.21949412542,4995.353247235422,12524.306723845535,27807.016930036712,42048.9965426744,53777.11487460407,62659.77255619991,68942.22928890017,80305.88557097367,91502.5343718815,105433.9103042117,120210.66387058455,126507.8698930768,4998.667068162829,4995.906006702765,4970.369025001906,4944.734896255146,4991.943788462263,4997.732436385073,4986.170340549731,4960.027802649556,4982.378256251852,80297.26136973177,91061.73077783691,105273.60765775063,119851.82378357222,126555.26670537813,-24.984222233515762,-7579.571827590389,-22815.073141574452,-37051.26410628932,-48790.94453405434,-57699.74475355035,-63959.851032648316,-8.624201241909901,-440.80359404458034,-160.30264646107247,-358.8400870123388,47.396812301332446,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139709,-1.3157,-1.3157,-1.3157,-0.5157,0.3843,1.1843,1.9843,2.7843,3.5843,4.4843,5.2843,6.0843,6.8843,7.6843,-1.3157,-1.3157,-1.3157,-1.3157,-1.3157,-1.3157,-1.3157,-1.3157,-1.3157,4.4843,5.2843,6.0843,6.8843,7.6843,5684.369710210824,5661.250893763077,5740.5783030376815,14450.798569786506,31906.268088983696,48279.95176144481,61698.56240792363,71754.60377491944,79029.97260487272,91814.69231747024,104573.72844024384,120866.35168319447,137457.4585056679,145384.39186407032,5651.683687363965,5735.469137316152,5693.140236301045,5736.534660644617,5685.646627173148,5671.84528829894,5733.9225374558855,5718.357914364649,5725.750960094343,92035.37023934818,104447.35583462879,120678.30090397446,137353.8245978291,145045.12433304806,-47.43806673663641,-8714.263909141888,-26220.621461810548,-42608.106473145875,-55964.63987046775,-66036.24586055479,-73304.22164477837,220.6779218779458,-126.37260561503817,-188.05077922000842,-103.63390783878127,-339.2675310222593,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139710,-1.3101,-1.3101,-1.3101,-0.5101,0.38989999999999997,1.1899,1.9899,2.7899,3.5899,4.4899,5.2899,6.0899,6.8899,7.6899,-1.3101,-1.3101,-1.3101,-1.3101,-1.3101,-1.3101,-1.3101,-1.3101,-1.3101,4.4899,5.2899,6.0899,6.8899,7.6899,6082.77603715067,6075.31555559131,6102.0115549023485,15249.037333758024,33698.973366066086,50988.90488527253,65142.02679730711,75409.93312673025,83502.95223907089,97303.12906145249,110556.56220549135,127657.03480972446,145068.18517595195,152933.01379739164,6066.378296831076,6192.0814621988375,6107.846692266153,6055.331819134973,6027.855788162833,6063.76146759515,6142.94064687767,6118.312356664692,6142.454476625862,97159.12267259083,109998.63504650319,127750.97409659605,144801.50865567804,153402.10099495796,5.835137363803993,-9193.705514623052,-27671.117577903253,-44925.143417677384,-58999.08615042944,-69291.62077006557,-77360.49776244503,-144.00638886166948,-557.9271589881646,93.93928687159291,-266.67652027389846,469.08719756632445,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139711,-1.3191,-1.3191,-1.3191,-0.5191,0.38089999999999996,1.1809,1.9809,2.7809,3.5809,4.4809,5.2809,6.0809,6.8809,7.6809,-1.3191,-1.3191,-1.3191,-1.3191,-1.3191,-1.3191,-1.3191,-1.3191,-1.3191,4.4809,5.2809,6.0809,6.8809,7.6809,5133.282710140489,5085.943356709594,5172.83259060663,12790.959004665396,27920.52116722549,42144.853830246444,53992.24482597388,62684.97276148015,69176.10535132671,80706.9881647017,91379.42653463031,106092.86781021066,120185.4769490953,127267.03839191249,5161.365211310403,5060.22584571348,5102.526422810901,5159.447534419258,5142.0375267627605,5147.776751133239,5127.48376211821,5161.597593070068,5175.507422384859,80467.15745948252,91376.71928895505,105567.51647898961,120454.69800568296,126878.0553711124,-70.30616779572917,-7631.511470246139,-22778.483640462735,-36997.0770791132,-48864.76106385567,-57523.375168410086,-64000.59792894186,-239.8307052191911,-2.7072456752664955,-525.3513312210464,269.22105658769175,-388.9830208000668,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139712,-1.3099,-1.3099,-1.3099,-0.5099,0.39009999999999995,1.1901,1.9901,2.7901,3.5901,4.4901,5.2901,6.0901,6.8901,7.6901,-1.3099,-1.3099,-1.3099,-1.3099,-1.3099,-1.3099,-1.3099,-1.3099,-1.3099,4.4901,5.2901,6.0901,6.8901,7.6901,5685.076598679619,5756.33756006886,5765.6501865711125,14619.438522892531,32158.171533333338,48516.88572156814,61989.61211423025,71940.1129887727,79625.3132963134,92229.46658202344,104856.07800798326,121347.86166258395,138159.00265661854,145707.22602607895,5701.545837537186,5733.966486535676,5708.5061427676865,5698.892625021203,5671.183263837185,5655.952049287531,5693.046481814621,5711.454172851588,5747.620799540928,92619.92985570592,104905.02691532364,120891.23603579418,138157.8064668502,146082.7798222498,-57.14404380342631,-8920.545897871329,-26486.98826949615,-42860.93367228062,-56296.56563241563,-66228.65881592111,-73877.69249677246,390.46327368246745,48.94890734038203,-456.6256267897659,-1.1961897683684488,375.5537961708696,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139713,-1.3162,-1.3162,-1.3162,-0.5162,0.3838,1.1838,1.9838,2.7838,3.5838,4.4838,5.2838,6.0838,6.8838,7.6838,-1.3162,-1.3162,-1.3162,-1.3162,-1.3162,-1.3162,-1.3162,-1.3162,-1.3162,4.4838,5.2838,6.0838,6.8838,7.6838,5055.6456457499025,5035.205108481326,5062.340437067122,12740.19221886373,27925.218637717866,42061.499279411146,53695.37903454734,62515.31905569243,69275.00152846429,80343.38407375615,90937.31168583468,105628.85946997587,119987.97741555214,126713.95378752609,4997.471979918896,5050.515816822792,5041.5561917154155,4989.956133882526,5040.905441067985,5042.297424029083,5021.0238630425165,5060.794933568351,5029.436471965377,80066.73436969027,91227.74141761595,105682.58750685534,120153.6276824445,126795.89948029828,-20.78424535170724,-7750.236084981206,-22884.31319664988,-37019.20185538206,-48674.35517150483,-57454.52412212408,-64245.5650564989,-276.6497040658933,290.4297317812684,53.72803687948188,165.65026689236404,81.94569277219432,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139714,-1.317,-1.317,-1.317,-0.517,0.38299999999999995,1.183,1.983,2.783,3.583,4.483,5.283,6.083,6.883,7.683,-1.317,-1.317,-1.317,-1.317,-1.317,-1.317,-1.317,-1.317,-1.317,4.483,5.283,6.083,6.883,7.683,6020.817171195141,5951.0475756966,5900.67317384467,14918.203671827581,33216.65290797053,50277.55779646979,64470.92384403666,74919.92415012584,82318.03683315474,96370.34818187555,108858.10185382285,126126.68353458474,143429.277476661,151682.95654631685,5878.093960209618,5930.324233319529,5929.190993254359,5879.342324009023,5908.297528896121,5940.551462049645,5890.85421374144,5954.593879788593,5848.804852258279,95818.41412105886,109230.52125645775,126074.30162051687,143307.0749098923,151268.17959832787,28.517819409689,-9038.86134781856,-27308.355379074408,-44337.00633442015,-58580.06963029523,-68965.33027033725,-76469.23198089645,-551.9340608167003,372.419402634909,-52.38191406787388,-122.20256676867183,-414.77694798898597,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139715,-1.3117,-1.3117,-1.3117,-0.5117,0.3883,1.1883,1.9883,2.7883,3.5883,4.4883,5.2883,6.0883,6.8883,7.6883,-1.3117,-1.3117,-1.3117,-1.3117,-1.3117,-1.3117,-1.3117,-1.3117,-1.3117,4.4883,5.2883,6.0883,6.8883,7.6883,5023.970238953327,5019.852768918045,4985.3466678168725,12772.908175435321,27890.140525364208,42067.70693906906,53713.182521594645,62487.60225091684,68841.20964549051,80250.99997732382,90982.587224773,105529.04257970928,119660.64170297861,126810.26467780878,5023.449766040074,4974.753483860924,5151.943676269516,5048.860354151743,5035.723544406942,5035.64928138293,5002.520145809672,5033.050622368938,5024.073132230926,80269.73682480074,91063.27612590812,105279.97781948473,119766.33356010429,126316.95996107113,166.59700845264328,-7724.047821283579,-22854.416980957267,-37032.05765768613,-48710.66237578497,-57454.55162854791,-63817.13651325959,18.736847476924545,80.68890113510973,-249.06476022454086,105.69185712569333,-493.3047167376382,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139716,-1.3111,-1.3111,-1.3111,-0.5111,0.38889999999999997,1.1889,1.9889,2.7889,3.5889,4.4889,5.2889,6.0889,6.8889,7.6889,-1.3111,-1.3111,-1.3111,-1.3111,-1.3111,-1.3111,-1.3111,-1.3111,-1.3111,4.4889,5.2889,6.0889,6.8889,7.6889,5948.047009389519,5825.3136064463815,5869.671683992393,14670.815187265269,32277.55663421914,48466.33822506577,62158.84725621879,71887.86567506795,79507.64999514147,92580.64664006163,104834.4789572605,121319.5455449301,138186.79740199717,145585.18142028444,5934.80098547487,5850.574582090765,5914.721697564449,5929.66767544517,5892.715554229326,5945.226554329075,5927.582120516743,5948.2841451260965,5898.109985305287,92688.23921625623,105132.49585586418,121393.48053968397,138127.34421572296,145728.07840288072,45.05001357205626,-8741.147511820098,-26384.841079989816,-42521.1116707367,-56231.26513570205,-65939.58152994186,-73609.54000983619,107.59257619460818,298.01689860369635,73.93499475386079,-59.45318627421559,142.8969825962918,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139717,-1.3143,-1.3143,-1.3143,-0.5143,0.38569999999999993,1.1857,1.9857,2.7857,3.5857,4.4857,5.2857,6.0857,6.8857,7.6857,-1.3143,-1.3143,-1.3143,-1.3143,-1.3143,-1.3143,-1.3143,-1.3143,-1.3143,4.4857,5.2857,6.0857,6.8857,7.6857,5259.993378305723,5170.655415280492,5233.985789064782,13046.832657815909,28614.28493728993,42906.926302392945,54988.600037548815,63693.46510937571,70120.12334422539,82143.29328432889,92815.28189794022,107558.70834807701,122407.72689613726,128923.00320629914,5185.278719552398,5223.079077305886,5216.469154441532,5193.049233999817,5243.269422940089,5225.071442239,5202.206492016992,5172.644088535838,5179.721223388428,82165.2996986176,92916.70125827607,107407.98483947417,122252.70089080045,129232.58102919535,-17.51663462325078,-7853.783423816092,-23371.015514349845,-37681.854860153944,-49786.39354553182,-58520.82102083987,-64940.40212083695,22.00641428871076,101.41936033584587,-150.72350860282694,-155.02600533681692,309.5778228962235,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
529139718,-1.3019,-1.3019,-1.3019,-0.5019,0.39809999999999995,1.1981,1.9981,2.7981,3.5981,4.4981,5.2981,6.0981,6.8981,7.6981,-1.3019,-1.3019,-1.3019,-1.3019,-1.3019,-1.3019,-1.3019,-1.3019,-1.3019,4.4981,5.2981,6.0981,6.8981,7.6981,5902.464330461185,5931.574910868803,5949.284344452298,15159.911976526233,33783.54995689056,51072.00734425262,65368.78644805994,75987.60490559135,83573.19342108838,97380.81956461168,110373.19786545365,127648.87097060717,145517.9454123875,153610.52190033736,5985.727540791129,5959.386603599063,5908.528544562546,5903.5713679888795,5907.851925221055,5918.360784436044,5936.40051699112,5930.874549558767,5938.874562286494,97407.31090561679,110205.39376301283,127738.15205305633,145417.7571382974,153583.07897737384,-40.7557998897519,-9256.340608537354,-27875.698031669508,-45153.646559816574,-59432.38593106883,-70056.73035603258,-77634.31885880188,26.491341005114396,-167.80410244081312,89.28108244917453,-100.18827409010899,-27.44292296351167,0.0,0.0,0.0,-0.8,-1.7,-2.5,-3.3,-4.1,-4.9,0.0,0.0,0.0,0.0,0.0,245100203002
