,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
84,1909,7,0.041,,-0.285,-0.452,-0.465,-0.641,,,,0.357,,,11.760,5.970,-1.025,0
85,1909,8,0.133,,-0.196,-0.373,-0.373,-0.553,,,,0.357,,,11.790,5.930,-0.873,0
86,1909,9,0.072,,-0.221,-0.398,-0.391,-0.565,,,,0.344,,,11.620,5.910,-0.995,0
87,1909,10,0.072,,-0.376,-0.529,-0.544,-0.715,,,,0.338,,,11.800,5.970,-1.117,0
88,1909,11,-0.020,,-0.395,-0.553,-0.556,-0.718,,,,0.323,,,11.820,6.000,-1.269,0
89,1909,12,0.316,,-0.437,-0.577,-0.599,-0.760,,,,0.323,,,11.800,6.080,-1.391,0
90,1910,1,0.163,,-0.459,-0.587,-0.611,-0.760,,,,0.302,,,11.830,6.100,-1.361,0
91,1910,2,-0.142,,-0.529,-0.690,-0.696,-0.867,,,,0.338,,,11.810,6.010,-1.513,0
92,1910,3,0.011,,-0.382,-0.538,-0.544,-0.708,,,,0.326,,,11.710,6.120,-0.995,0
93,1910,4,0.224,,-0.248,-0.410,-0.410,-0.571,,,,0.323,,,11.750,5.810,-1.117,0
94,1910,5,0.072,,-0.327,-0.486,-0.489,-0.654,,,,0.326,,,11.780,5.760,-0.873,0
95,1910,6,0.072,,-0.254,-0.428,-0.428,-0.605,,,,0.351,,,11.720,5.940,-1.208,0
96,1910,7,0.102,,-0.224,-0.388,-0.401,-0.577,,,,0.354,,,11.730,5.940,-0.843,0
97,1910,8,0.041,,-0.224,-0.401,-0.398,-0.571,,,,0.347,,,11.880,5.960,-0.965,0
98,1910,9,0.194,,-0.166,-0.340,-0.340,-0.513,,,,0.347,,,11.640,5.880,-0.812,0
99,1910,10,0.163,,-0.279,-0.425,-0.452,-0.623,,,,0.344,,,11.890,5.850,-0.995,0
100,1910,11,0.072,,-0.456,-0.608,-0.608,-0.760,,,,0.305,,,11.930,5.980,-1.513,0
101,1910,12,0.011,,-0.477,-0.614,-0.632,-0.788,,,,0.311,,,11.860,5.810,-1.483,0
102,1911,1,-0.111,,-0.498,-0.626,-0.648,-0.794,,,,0.296,,,11.760,5.890,-1.300,0
103,1911,2,-0.020,,-0.428,-0.580,-0.580,-0.730,,,,0.302,,,11.760,5.850,-1.117,0
104,1911,3,-0.020,,-0.465,-0.620,-0.629,-0.794,,,,0.329,,,11.720,5.880,-1.574,0
105,1911,4,0.133,,-0.349,-0.513,-0.520,-0.687,,,,0.338,,,11.620,5.860,-1.056,0
106,1911,5,-0.020,,-0.337,-0.501,-0.501,-0.666,,,,0.329,,,11.650,5.750,-1.147,0
