,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
84,1909,7,0.303,,-0.023,-0.190,-0.203,-0.379,,,,0.357,,,11.760,5.970,-0.763,0
85,1909,8,0.395,,0.066,-0.111,-0.111,-0.291,,,,0.357,,,11.790,5.930,-0.611,0
86,1909,9,0.334,,0.041,-0.136,-0.129,-0.303,,,,0.344,,,11.620,5.910,-0.733,0
87,1909,10,0.334,,-0.114,-0.267,-0.282,-0.453,,,,0.338,,,11.800,5.970,-0.855,0
88,1909,11,0.242,,-0.133,-0.291,-0.294,-0.456,,,,0.323,,,11.820,6.000,-1.007,0
89,1909,12,0.578,,-0.175,-0.315,-0.337,-0.498,,,,0.323,,,11.800,6.080,-1.129,0
90,1910,1,0.425,,-0.197,-0.325,-0.349,-0.498,,,,0.302,,,11.830,6.100,-1.099,0
91,1910,2,0.120,,-0.267,-0.428,-0.434,-0.605,,,,0.338,,,11.810,6.010,-1.251,0
92,1910,3,0.273,,-0.120,-0.276,-0.282,-0.446,,,,0.326,,,11.710,6.120,-0.733,0
93,1910,4,0.486,,0.014,-0.148,-0.148,-0.309,,,,0.323,,,11.750,5.810,-0.855,0
94,1910,5,0.334,,-0.065,-0.224,-0.227,-0.392,,,,0.326,,,11.780,5.760,-0.611,0
95,1910,6,0.334,,0.008,-0.166,-0.166,-0.343,,,,0.351,,,11.720,5.940,-0.946,0
96,1910,7,0.364,,0.038,-0.126,-0.139,-0.315,,,,0.354,,,11.730,5.940,-0.581,0
97,1910,8,0.303,,0.038,-0.139,-0.136,-0.309,,,,0.347,,,11.880,5.960,-0.703,0
98,1910,9,0.456,,0.096,-0.078,-0.078,-0.251,,,,0.347,,,11.640,5.880,-0.550,0
99,1910,10,0.425,,-0.017,-0.163,-0.190,-0.361,,,,0.344,,,11.890,5.850,-0.733,0
100,1910,11,0.334,,-0.194,-0.346,-0.346,-0.498,,,,0.305,,,11.930,5.980,-1.251,0
101,1910,12,0.273,,-0.215,-0.352,-0.370,-0.526,,,,0.311,,,11.860,5.810,-1.221,0
102,1911,1,0.151,,-0.236,-0.364,-0.386,-0.532,,,,0.296,,,11.760,5.890,-1.038,0
103,1911,2,0.242,,-0.166,-0.318,-0.318,-0.468,,,,0.302,,,11.760,5.850,-0.855,0
104,1911,3,0.242,,-0.203,-0.358,-0.367,-0.532,,,,0.329,,,11.720,5.880,-1.312,0
105,1911,4,0.395,,-0.087,-0.251,-0.258,-0.425,,,,0.338,,,11.620,5.860,-0.794,0
106,1911,5,0.242,,-0.075,-0.239,-0.239,-0.404,,,,0.329,,,11.650,5.750,-0.885,0
107,1911,6,0.364,,0.002,-0.160,-0.172,-0.343,,,,0.344,,,11.760,5.880,-0.550,0
108,1911,7,0.181,,-0.072,-0.212,-0.233,-0.398,,,,0.326,,,11.710,5.890,-0.672,0
109,1911,8,0.364,,0.017,-0.142,-0.154,-0.322,,,,0.338,,,11.750,5.820,-0.672,0
110,1911,9,0.486,,0.059,-0.093,-0.108,-0.279,,,,0.338,,,11.770,5.960,-0.763,0
111,1911,10,0.486,,0.023,-0.117,-0.133,-0.288,,,,0.311,,,11.820,5.860,-0.703,0
