GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504011014,197,133000,1413.81725888325,46.5786802030457,1.91370558375635,1.47715736040609,0,0.172019176472675,0.747273907008476,0.593369300666731,0.187233877538497,1,431.821802476875
G24000504011021,182,97250,1278.55494505495,65.1538461538462,1.37637362637363,1.18681318681319,0.0990730800152189,0.134157359214915,0.633620746007905,0.8499688101973,0.0708780599856826,0.843579435875062,-22581.9186847074
G24000504012001,587,105000,1391.44633730835,78.1056218057922,1.49574105621806,1.66950596252129,0,0.165757242009305,0.554374603749323,0.792965641985978,0.264317838195604,1,-38140.0786354403
G24000504012002,965,114383,1498.74093264249,70.1564766839378,1.6979274611399,1.69326424870466,0.00496006130262792,0.195790502910365,0.603011879601606,0.69641279113862,0.273839003295323,0.99216885568782,-32941.8937485535
G24000504013011,961,92000,1168.5098855359,64.3590010405827,1.99895941727367,1.20291363163371,0.0112509408764553,0.103354204842455,0.638484048972062,0.552656866638606,0.0773303348733585,0.982236561954457,16254.2764605881
G24000504013012,504,96050,1225.10317460317,64.0575396825397,1.99900793650794,1.32539682539683,0,0.11919545957214,0.640328556652471,0.552633696582286,0.126415639291311,1,7612.32926557945
G24000504013013,581,118500,1247.15490533563,64.8055077452668,1.51032702237522,1.53528399311532,0,0.125368048045447,0.63575207346618,0.786000205237741,0.210528203671445,1,-14112.0033253101
G24000504013021,733,95000,1182.44201909959,70.2346521145975,1.91678035470668,1.31105047748977,0.00280091763143955,0.10725400427712,0.602533558986297,0.591900963064741,0.120666321097782,0.995577798571419,10902.5205413801
G24000504013022,426,98409,1225.98591549296,67.424882629108,2,1.36150234741784,0,0.119442551118255,0.619725286077977,0.552159942877544,0.140884975737569,1,10404.6791867841
G24000504014001,581,275000,1960.81411359725,62.855421686747,1.76506024096386,1.90877796901893,0.0516083006021378,0.325131261927901,0.647683780852319,0.664353952762138,0.360206416185706,0.918518738970508,75283.3383693773
G24000504015031,419,277365,1747.20525059666,40.3532219570406,1.77804295942721,2.15990453460621,0,0.265339147578651,0.78536471116116,0.658154136904737,0.460845724653826,1,61706.4342182209
G24000504015032,463,232000,1697.05615550756,60.1382289416847,1.58963282937365,1.73866090712743,0,0.251301713054829,0.664309072133274,0.748128214005643,0.292031775134282,1,50787.7853544288
G24000504015033,468,199050,1540.1452991453,63.5790598290598,1.85149572649573,1.88247863247863,0.0885494424613883,0.207380165350952,0.64325616160454,0.623077228218249,0.34966692174235,0.860194578177731,42207.6839996877
G24000504015034,671,240500,1693.24292101341,70.9120715350224,2.06035767511177,1.97615499254844,0.008607166832232,0.250234335279807,0.598388731496821,0.523336513306138,0.38720784886485,0.986410658766152,82468.8207363216
G24000504015035,573,215000,1557.12041884817,53.0663176265271,1.6108202443281,1.83769633507853,0,0.212131739251532,0.707578945329144,0.738010296746425,0.331720355908425,1,34872.2045549581
G24000504015041,653,225000,1875.37672281776,41.353751914242,1.67151607963247,2.16998468606432,0,0.30121613889682,0.779242914316228,0.709025380893829,0.464885358890156,1,-7596.47373783374
G24000504015042,440,221861,1835.58181818182,48.8295454545455,1.56363636363636,2.25,0,0.290076987388376,0.73350186580589,0.760542663334523,0.496951603425118,1,-13063.437172672
G24000504015043,722,189450,1616.16620498615,38.7049861495845,1.9792243767313,2.09695290858726,0,0.228659482281529,0.795449531403837,0.562081211597362,0.435617775971157,1,-473.917327450878
G24000504015051,316,157250,1462.63924050633,52.626582278481,1.50316455696203,1.65506329113924,0,0.185685133338689,0.710269489921935,0.789420595718527,0.25852991824009,1,-10711.7065199332
G24000504015052,521,150000,1380.25719769674,48.426103646833,1.60748560460653,1.76391554702495,0,0.162625245023182,0.735970346402389,0.739602733051878,0.302152605994826,1,-14855.4232239833
G24000504015053,356,175000,1422.66853932584,53.5926966292135,1.31320224719101,1.76404494382022,0,0.174496773913748,0.704358266833022,0.880135906518138,0.302204461934335,1,-7284.5567949826
G24000504015061,218,234065,1566.84403669725,28.2614678899083,2.08256880733945,1.9954128440367,0,0.214853516157947,0.859348764677079,0.512729726277312,0.394925458715596,1,52518.4269719601
G24000504015062,1168,152812.5,1262.51455479452,26.1618150684932,2.00171232876712,1.99914383561644,0,0.129667429184927,0.872195604419435,0.551342231003604,0.396420658602583,1,-10466.6254071334
G24000504015063,1258,135412.5,1235.06120826709,28.3759936406995,2.01351351351351,1.83227344992051,0,0.121982852750319,0.858648032655203,0.545706649169698,0.329547127397417,1,-12776.4368183267
