GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,perc_area_flood,N_perc_area_flood
G24000504024052,631,127000,1510.524564,54.32329635,1.546751189,1.809825674,0.199088907,0.699888053,0.768606073,0.320551151,-50408.56951,0,0
G24000504024062,362,144091,1412.411602,26.58287293,1.998618785,1.897790055,0.171625713,0.869619339,0.552819534,0.355802995,-25008.72337,0,0
G24000504024063,117,120240,1440.247863,30.85470085,1.935897436,2.008547009,0.179417473,0.843481928,0.582771721,0.400188993,-58482.00374,0,0
G24000504024071,423,121000,1267.371158,42.87234043,1.871158392,1.75177305,0.131026861,0.769951348,0.613687445,0.297286484,-21910.92037,0,0
G24000504024072,125,160000,1760,73.896,1.54,1.672,0.268920577,0.580131403,0.771830061,0.265317327,-14214.72343,0,0
G24000504025031,132,145450,1835.659091,69.81818182,1.571969697,1.984848485,0.290098617,0.605081755,0.756563132,0.390691778,-55712.91558,0,0
G24000504025032,639,172000,2188.117371,42.46948357,1.761345853,2.115805947,0.388756629,0.77241625,0.666127736,0.443173156,-76547.55112,0,0
G24000504025041,1057,147900,1601.007569,29.09839167,1.943708609,2.064333018,0.224416368,0.854228001,0.579041544,0.422545311,-48467.95132,0,0
G24000504025042,795,250000,2603.952201,35.23018868,1.859748428,2.386163522,0.505154626,0.816710268,0.619136202,0.551519318,-49353.48141,0.002918754,0.004608246
G24000504025051,431,166158,1693.143852,30.85382831,1.951276102,2.099767981,0.250206604,0.843487267,0.575427735,0.43674592,-38141.61105,0,0
G24000504025052,631,142075,1577.259905,37.58478605,1.800316957,2.098256735,0.217769064,0.802303536,0.647517329,0.436140286,-56493.39523,0,0
G24000504025061,689,146000,1550.69521,51.2743106,1.462264151,2.043541364,0.210333233,0.718543438,0.808952328,0.414213028,-56869.07743,0,0
G24000504025062,886,143000,1450.015801,45.43227991,1.517494357,1.864559819,0.182151656,0.754288219,0.78257749,0.342485933,-41718.72558,0,0
G24000504025091,1790,243815,2258.321229,20.96256983,2.095251397,2.22849162,0.408407673,0.904007469,0.506673235,0.488332091,-14130.01036,0,0
G24000504025092,652,213467.5,1707.584356,23.00613497,1.997699387,2.478527607,0.254248704,0.891503804,0.553258586,0.588534349,-18942.44143,0,0
G24000504025093,850,170000,1377.874118,23.61764706,1.995294118,1.990588235,0.161958188,0.887762234,0.554407208,0.39299199,-4584.116365,0,0
G24000504026021,448,115000,1359.390625,63.56026786,1.421875,1.448660714,0.156784399,0.643371141,0.828239914,0.175813808,-27836.97632,0,0
G24000504026022,358,143750,1468.969274,55.89944134,1.382681564,1.796089385,0.187456998,0.690244324,0.846956494,0.315046315,-38225.31834,0,0
G24000504026031,297,162500,1608.915825,48.4006734,1.484848485,2.141414141,0.226629999,0.736125943,0.798167321,0.453435675,-52151.19863,0,0
G24000504026032,1222,158900,1663.621113,26.18003273,2.097790507,2.359247136,0.241942776,0.872084139,0.505460699,0.54073254,-53778.71641,0,0
G24000504026033,564,161842.5,1955.492908,33.27836879,1.978723404,2.164893617,0.323641782,0.828652584,0.562320448,0.462845106,-64513.94656,0,0
G24000504026041,1002,150214,1793.56986,49.6506986,1.680139721,2.0499002,0.278317252,0.728477596,0.704907215,0.41676134,-60961.3158,0.003510513,0.00554254
G24000504026042,864,142700,1588.016204,52.50462963,1.467592593,2,0.220779902,0.711015664,0.806407764,0.396763768,-59234.12961,0.005025985,0.007935228
G24000504026043,374,151000,1586.834225,58.20855615,1.494652406,1.729946524,0.22044905,0.67611588,0.79348552,0.288539474,-27851.03177,0,0
G24000504031001,361,150000,1664.648199,68.65927978,1.418282548,1.858725762,0.242230272,0.61217256,0.829955467,0.340147927,-39619.80883,0.007577491,0.011963647
G24000504031002,540,135000,1622.898148,62.37962963,1.530555556,1.716666667,0.230543848,0.65059494,0.776340196,0.283217554,-40458.33704,0.00201371,0.003179327
G24000504032011,953,113900,1329.341028,53.76495278,1.659496327,1.566631689,0.148373096,0.703304308,0.714765338,0.223090835,-26968.09452,0,0
G24000504032012,382,101175,1389.617801,62.45549738,1.502617801,1.382198953,0.165245409,0.650130739,0.789681696,0.149179168,-35939.02108,0.011660078,0.018409399
G24000504032021,975,129070,1493.071795,67.27282051,1.695384615,1.606153846,0.194203632,0.620655686,0.697627111,0.238929392,-14757.15769,0,0
G24000504033001,427,140000,1559.629977,77.59016393,1.569086651,1.576112412,0.2128342,0.557528461,0.757939913,0.226890247,-6991.285676,0,0
G24000504033002,716,125000,1436.432961,68.95111732,1.592877095,1.51396648,0.178349628,0.610386936,0.746578935,0.201985182,-13406.37801,0.042716265,0.067442158
G24000504034011,568,147150,1599.012324,72.38908451,1.675176056,1.776408451,0.223857871,0.589351547,0.707277582,0.307159154,-13142.29202,0.002417417,0.003816715
G24000504034012,323,154900,1673.919505,29.26934985,1.979876161,2.043343653,0.24482544,0.853181984,0.561769956,0.414133795,-43815.39508,0.013761348,0.02172697
G24000504034021,79,110000,1737.21519,64,1.765822785,1.721518987,0.26254279,0.640680616,0.663989805,0.285162128,-59403.44591,0,0
G24000504034022,248,120000,1393.322581,76.53225806,1.653225806,1.516129032,0.166282429,0.564001315,0.717759786,0.202851827,-5211.168817,0,0
G24000504034023,36,95750,1105,58.91666667,2,1.055555556,0.085576898,0.671783267,0.552159943,0.018276388,30200.94592,0,0
G24000504034024,698,105000,1376.565903,68.33954155,1.956303725,1.393982808,0.161592,0.614128896,0.573026825,0.153901564,877.6140289,0,0
G24000504035001,449,250000,2182.051225,56.12026726,1.797327394,2.118040089,0.38705863,0.688893189,0.648944976,0.444068492,14934.77335,0.000814802,0.001286443
G24000504035002,472,256250,2084.519068,60.65466102,1.626059322,2.328389831,0.359758012,0.661149254,0.730732971,0.528366433,9246.084165,0,0
G24000504035003,316,269500,2457.506329,64.26582278,1.47943038,2.405063291,0.464162374,0.639054165,0.800754703,0.559093426,-19179.27803,0.013053776,0.020609826
G24000504036011,378,195500,1652.470899,62.38624339,1.324074074,1.444444444,0.238821675,0.650554474,0.874944134,0.174124133,21785.62781,0,0
G24000504036012,626,292500,1897.313099,33.44408946,1.880191693,2.292332268,0.307356438,0.827638613,0.609373649,0.513916317,57095.71254,0,0
G24000504036013,366,328500,2426.076503,35.81693989,1.784153005,2.407103825,0.455364725,0.813120199,0.655236323,0.559911172,38332.30461,0.001317577,0.002080244
G24000504036021,496,195500,1501.592742,37.2641129,1.976814516,2.159274194,0.196588764,0.804265593,0.563232025,0.460593115,10001.94729,0,0
G24000504036022,998,280000,2302.129259,31.53206413,1.96492986,2.608216433,0.420670154,0.839337444,0.568907469,0.64050732,-4713.441601,0,0
G24000504037011,275,223691,2204.345455,29.76,2.005454545,2.330909091,0.393299097,0.850179915,0.549555159,0.52937603,-34662.53777,0,0
G24000504037012,321,335000,2817.869159,31.30529595,1.853582555,2.710280374,0.56503298,0.840724937,0.622080677,0.681409581,-5633.281363,0,0
G24000504037013,134,322000,3075.947761,80.05223881,1.940298507,2.611940299,0.637272798,0.542464122,0.580670017,0.641999664,10461.62778,0,0
G24000504037014,367,482000,4017.332425,55.69482289,1.652588556,3.389645777,0.900779558,0.691496293,0.718064101,0.953666179,7352.451706,0,0
G24000504037015,872,150000,1667.791284,40.66857798,2.030389908,2.053899083,0.243110066,0.783435188,0.537647433,0.418363897,-36647.83602,0,0
G24000504037021,342,3.00E+05,2473.385965,40.05263158,1.524853801,2.236842105,0.468607306,0.78720389,0.779063033,0.491678559,3909.028011,0,0
G24000504037022,1132,170000,1447.410777,32.18462898,1.98630742,2.171378092,0.181422473,0.835344691,0.558698748,0.465443768,-15252.47062,0.041291483,0.065192655
G24000504038011,549,465000,3868.786885,43.8870674,1.722222222,3.14571949,0.85919958,0.763742686,0.68481098,0.855912392,12604.41707,0.004326923,0.00683152
G24000504038021,593,435000,3890.246206,46.85666105,1.537099494,3.173693086,0.865206344,0.745573066,0.773215179,0.867122848,-29933.29292,0.001210729,0.001911548
G24000504038022,457,440000,3766.584245,47.83369803,1.582056893,3.161925602,0.830591628,0.739595012,0.751746055,0.862407013,-10451.93613,0,0
G24000504038031,646,319000,3152.925697,45.13003096,1.612229102,2.800309598,0.658820001,0.756137546,0.737337506,0.717488914,-58684.94598,0.007798126,0.012311995
G24000504038032,440,319900,2386.722727,41.47045455,1.814772727,2.7,0.444349052,0.778528863,0.640614066,0.677289708,21200.46835,0.032824506,0.05182465
G24000504041011,645,295000,2552.124031,30.01550388,1.885271318,2.272868217,0.490647195,0.8486166,0.606947906,0.506116072,4361.002273,0,0
G24000504041012,2402,195000,1408.840966,22.84429642,1.998542881,2.146544546,0.170626242,0.892494022,0.552855781,0.455491691,7763.356845,0.001162154,0.001834856
G24000504041021,1670,184550,1661.036527,36.68562874,1.845508982,2.052694611,0.241219314,0.807805079,0.625936161,0.417881204,-16035.75179,0,0
G24000504041022,912,136000,1170.264254,50.42214912,1.474232456,1.403508772,0.103845277,0.723757434,0.803236939,0.157719107,4297.614046,0.082117795,0.129650878
G24000504042011,44,150425,1620.363636,74.72727273,1.681818182,1.977272727,0.229834402,0.575045216,0.704105677,0.387655783,-21819.5809,0,0
G24000504042012,782,140000,1340.319693,34.70332481,1.714194373,1.925831202,0.151446178,0.819933914,0.688644629,0.367040522,-35926.66799,0,0
G24000504042013,810,246657.5,2275.024691,26.74567901,1.984567901,2.17037037,0.413083206,0.868623201,0.559529445,0.465039922,-11256.15855,0,0
G24000504042021,758,209950,1927.104222,28.20976253,1.876649077,2.180738786,0.315695391,0.859665127,0.611065404,0.469195079,-25384.49351,0,0
G24000504042024,80,152500,1630.3375,56.225,1.3875,1.4375,0.232626226,0.688252376,0.84465548,0.171341137,-19972.13637,0.039541616,0.062429895
G24000504044021,453,236330,2119.459161,54.31567329,1.841059603,2.187637969,0.369538234,0.699934695,0.628060934,0.471959936,3360.466109,0.012963311,0.020466997
G24000504044022,1477,161000,1774.076506,32.96885579,1.999322952,1.622884225,0.272860789,0.830546356,0.552483263,0.245634114,-15726.23367,0,0
G24000504044023,950,271000,2323.591579,33.41789474,1.951052632,2.403157895,0.426677759,0.827798887,0.575534452,0.558329835,-2104.156638,0,0
G24000504044031,559,206390,1779.906977,30.72808587,1.838998211,2.048300537,0.274492819,0.844256629,0.629045338,0.416120273,-8888.845467,0,0
G24000504044032,389,224000,1984.18509,34.77892031,1.793059126,2.131105398,0.331673126,0.819471378,0.650983261,0.449304432,-12864.02055,0,0
G24000504044041,816,220500,1723.616422,27.05637255,1.93995098,2.120098039,0.258736304,0.866722206,0.580835976,0.444893218,8693.72335,0,0
G24000504044042,1159,183000,1717.211389,40.48921484,1.82700604,1.957722174,0.256943445,0.784532631,0.634772125,0.379820872,-14426.18557,0,0
G24000504045011,489,2.00E+05,1427.171779,53.25562372,1.465235174,1.668711656,0.175757294,0.706420666,0.807533535,0.263999519,32352.40706,0,0
G24000504045012,302,152750,1118.245033,59.51655629,1.082781457,1.420529801,0.089284368,0.66811281,0.990171911,0.164540307,7434.19825,0,0
G24000504045013,344,199500,1617.959302,37.89534884,1.781976744,2.069767442,0.229161395,0.800403341,0.656275583,0.424723164,-1539.081404,0,0
G24000504045014,848,135600,1346.232311,31.63207547,1.985849057,2.017688679,0.153101202,0.838725519,0.558917637,0.40385253,-32235.96076,0,0
G24000504045021,354,115000,1149.788136,47.29096045,1.679378531,1.516949153,0.098113725,0.742915782,0.705270716,0.203180492,-11919.16652,0,0
G24000504045022,209,144000,1086.253589,53.24880383,1.062200957,1.488038278,0.080329515,0.706462394,1,0.19159442,-9141.44022,0,0
G24000504045023,197,76584,1039.152284,43.40101523,1.710659898,1.406091371,0.067145199,0.766716623,0.690332495,0.158754087,-35507.87878,0,0
G24000504046001,647,212000,2656.547141,42.48068006,1.645285935,2.321483771,0.519876686,0.772347743,0.721551422,0.525598821,-95096.27668,0,0
G24000504046002,242,250000,2398.409091,57.84297521,1.659090909,2.23553719,0.447620229,0.678352707,0.714958943,0.491155613,-17345.32414,0.004797031,0.007573746
G24000504048001,381,308000,2970.107612,35.02362205,1.758530184,2.545931759,0.607646657,0.817974157,0.667472341,0.615546653,-37875.40971,0,0
G24000504048002,320,377500,3096.5375,33.41875,1.7359375,2.575,0.643036154,0.827793654,0.678261335,0.62719579,16717.1392,0,0
G24000504049001,662,372500,3064.5,30,1.957703927,2.682779456,0.634068409,0.848711462,0.572358167,0.670388552,18599.54648,0,0
G24000504049002,587,425000,4038.807496,34.09710392,1.816013629,3.359454855,0.906790731,0.823643109,0.640021482,0.941567127,-56730.58028,0,0
G24000504049003,442,445067,4193.072398,26.22624434,1.865384615,3.2760181,0.949971639,0.87180139,0.616444676,0.908129735,-47456.32934,0,0
G24000504050001,623,252300,2195.218299,50.38041734,1.587479936,2.038523274,0.390744278,0.724012772,0.749156315,0.412202022,3573.080642,0.002892001,0.004566007
G24000504050002,441,262000,2389.938776,61.16099773,1.624716553,2.01814059,0.445249269,0.658051206,0.731374201,0.404033633,9380.458577,0.00548258,0.008656118
G24000504060001,427,257900,2544.922717,37.6557377,1.692037471,2.257611241,0.488631446,0.801869415,0.699225519,0.500001819,-36997.79717,0,0
G24000504060002,255,225500,2157.690196,47.56078431,1.560784314,2.011764706,0.380239637,0.74126485,0.761904642,0.401478489,-22366.91365,0.002812292,0.00444016
G24000504060003,431,293500,2550.060325,37.68909513,1.747099768,2.232018561,0.490069534,0.801665316,0.672930864,0.489745518,3185.335372,0.004984717,0.007870072
G24000504060004,547,351055,2915.773309,29.33638026,1.898537477,2.484460695,0.592437724,0.852771855,0.600612735,0.590912042,17558.58617,0.002395647,0.003782344
G24000504070011,433,3.00E+05,2491.822171,39.68822171,1.64665127,2.242494226,0.473767859,0.789433551,0.720899415,0.493943655,9248.761468,0,0
G24000504070012,610,270000,2697.708197,40.14590164,1.785245902,2.336065574,0.531398243,0.786633212,0.654714417,0.531442498,-34640.59315,0.001817864,0.002870116
G24000504070021,671,285000,2733.184799,36.71684054,1.797317437,2.286140089,0.541328641,0.807614108,0.648949731,0.511434793,-21463.7595,0.004662104,0.007360718
G24000504070022,626,261500,2580.902556,40.63897764,1.690894569,2.271565495,0.498702707,0.7836163,0.699771305,0.505594005,-34919.42075,0.027867127,0.043997742
G24000504070023,441,240000,2481.108844,49.24036281,1.713151927,2.063492063,0.470769048,0.730988258,0.689142443,0.422208297,-27030.09706,0.038192994,0.060300635
G24000504081001,424,375000,2963.287736,41.00707547,1.831367925,2.554245283,0.605737678,0.781364073,0.632689134,0.618878309,38437.38223,0.0092011,0.014527067
G24000504081002,302,514787,3463.278146,34.23509934,2.006622517,2.983443709,0.745692001,0.822798776,0.548997402,0.790880155,115724.0748,0.002124692,0.00335455
G24000504081003,899,258000,1585.064516,32.61512792,1.997219132,2.640711902,0.219953684,0.832710659,0.553487929,0.653529923,33276.13448,0,0
G24000504081004,996,315000,2305.708835,27.40963855,1.997991968,2.606425703,0.421672128,0.864560729,0.553118866,0.639789683,28846.0121,0.02681297,0.042333396
G24000504082001,394,421250,4029.456853,33.79949239,1.808375635,3.307106599,0.904173355,0.825464061,0.643668958,0.920588493,-57168.13184,0.02017898,0.031859385
G24000504082002,234,350550,3300.042735,55.97863248,1.732905983,2.705128205,0.700000122,0.689759789,0.679709017,0.679344843,-17263.70516,0.003151888,0.004976328
G24000504083021,360,450000,4248.880556,41.20555556,1.743055556,3.491666667,0.965593125,0.780149662,0.674862152,0.994551188,-56082.44209,0,0
G24000504083022,948,379700,2768.238397,30.28902954,1.90664557,2.9092827,0.551140634,0.846943019,0.596740766,0.761160031,33265.41328,0,0
G24000504083031,1002,506027.5,3990.526946,26.30638723,1.932634731,3.360279441,0.893276329,0.871311032,0.584329805,0.941897581,29188.97957,0,0
G24000504083032,531,425000,3501.623352,33.16572505,1.826741996,3.024482109,0.756425361,0.829341801,0.634898217,0.807326349,8292.059442,0,0
G24000504083041,658,410052.5,3029.18997,26.21276596,1.974164134,2.93768997,0.624184637,0.871883859,0.564497699,0.772544282,41231.0068,0,0
G24000504083042,318,575000,3966.918239,34.35534591,1.822327044,3.264150943,0.886667921,0.822063041,0.63700655,0.903373956,105710.5324,0.002367644,0.003738131
G24000504083043,309,470000,3653.533981,36.57281553,1.783171521,3.064724919,0.798947275,0.808495333,0.655705024,0.823453709,38300.36178,0.004665271,0.007365717
G24000504085021,569,450000,3068.906854,56.87346221,1.462214411,2.787346221,0.635301949,0.684284725,0.808976081,0.712293823,80190.60124,0,0
G24000504085022,560,267631,1938.692857,47.10714286,1.867857143,2.078571429,0.318939212,0.74404048,0.615263936,0.428251373,52235.74118,0,0
G24000504085023,379,319900,2545.717678,47.15831135,1.940633245,2.44591029,0.488853967,0.743727402,0.580510165,0.575462915,36152.38637,0,0
G24000504085031,504,192750,1392.896825,44.53769841,1.78968254,1.970238095,0.166163254,0.759761765,0.652595728,0.384836644,22235.32354,0.008108866,0.012802603
G24000504085032,80,232500,1561.2125,59.9125,1.3875,1.775,0.21327717,0.665690207,0.84465548,0.306594715,47726.76398,0,0
G24000504085051,787,285000,2026.249047,51.92376112,1.753494282,2.18678526,0.343447417,0.714569739,0.669877204,0.471618212,52468.0182,0,0
G24000504085052,414,228250,1725.835749,59.13285024,1.435990338,1.937198068,0.259357525,0.670460536,0.821499223,0.371595809,22192.91674,0.043184047,0.068180711
G24000504085061,139,199900,1631.697842,58.53956835,1.611510791,1.669064748,0.233007005,0.674090564,0.73768053,0.264141021,28589.72328,0,0
G24000504085062,229,218000,1736.995633,38.79475983,2,2.366812227,0.262481333,0.794900246,0.552159943,0.54376426,2851.733198,0,0
G24000504085072,32,295500,2310.40625,49.40625,2,2.3125,0.422987,0.729973268,0.552159943,0.521998562,44897.26148,0,0
G24000504085073,185,167800,1379.643243,43.47027027,1.997297297,2.010810811,0.162453391,0.766292882,0.553450602,0.401096215,7796.294936,0,0
G24000504086011,410,266000,1678.719512,59.9804878,1.474390244,1.975609756,0.24616903,0.66527422,0.803161589,0.386989345,64487.85812,0,0
G24000504086012,370,290250,1958.654054,54.13243243,1.541891892,2.145945946,0.324526631,0.701055864,0.7709266,0.455251801,54558.98876,0,0
G24000504086013,435,231500,1543.441379,62.30574713,1.462068966,1.765517241,0.208302784,0.651046994,0.809045538,0.302794487,55286.38303,0,0
G24000504086014,448,204500,1264.388393,67.31919643,1.347098214,1.513392857,0.130191943,0.620371933,0.8639491,0.201755302,63878.51302,0,0
G24000504086021,517,235000,1582.220503,63.04448743,1.579303675,1.785299807,0.219157605,0.646526972,0.753060837,0.310722377,62171.021,0.004974208,0.007853479
G24000504086022,399,285000,2187.756892,54.4160401,1.802005013,2.115288221,0.388655726,0.699320595,0.646711209,0.442965677,48561.71274,0.021252984,0.033555066
G24000504087021,573,260000,2036.883072,55.57766143,1.840314136,2.094240838,0.346424029,0.692213152,0.628416927,0.43453091,40601.78093,0.003596171,0.005677779
G24000504087022,229,377500,2567.598253,52.76419214,1.823144105,2.384279476,0.494978646,0.709427517,0.636616368,0.550764284,93013.72231,0.004221847,0.006665622
G24000504087031,330,265000,1876.342424,57.84848485,1.715151515,1.9,0.301486452,0.678318996,0.688187552,0.356688633,65006.03903,0,0
G24000504087032,978,303608.5,2210.547035,36.20858896,1.97392638,2.277096115,0.395035006,0.810723873,0.564611237,0.507810408,51292.63057,0,0
G24000504087033,639,3.00E+05,1730.067293,33.0312989,1.987480438,2.327073552,0.260541993,0.830164295,0.558138581,0.527838933,82514.87683,0.018049667,0.02849754
G24000504087034,544,232000,1659.632353,41.79779412,2,2.121323529,0.240826266,0.776526018,0.552159943,0.445384335,40870.16293,0,0
G24000504087041,1091,270000,1993.001833,35.50870761,1.980293309,2.152153987,0.334141056,0.815006135,0.56157075,0.457739682,43218.39693,0,0
G24000504087042,953,410000,2778.685205,42.10703043,1.798006296,2.360965373,0.554064842,0.774633939,0.648620771,0.541421126,99486.41154,0.000824845,0.001302299
G24000504087043,702,361905,2785.803419,28.47008547,1.975783476,2.53988604,0.55605733,0.858072327,0.563724392,0.613123823,39756.04897,0,0
G24000504088001,300,250000,1988.146667,75.47,1.716666667,1.9,0.332782027,0.570500799,0.687464001,0.356688633,54952.34729,0,0
G24000504088002,425,205000,1496.658824,63.72470588,1.563529412,1.644705882,0.195207691,0.642365018,0.760593738,0.254379173,47527.71394,0.012937611,0.020426421
G24000504089001,547,261500,1958.42596,54.81170018,1.659963437,2.047531993,0.324462784,0.696899727,0.714542273,0.415812278,39752.04643,0,0
G24000504089002,755,275000,1954.73245,43.24900662,1.902649007,2.237086093,0.323428919,0.767646696,0.5986493,0.491776338,47503.68625,0.07831963,0.123654183
G24000504101001,268,291500,3148.298507,35.75746269,1.78358209,2.686567164,0.657524786,0.813484114,0.65550896,0.671906481,-75674.86637,0,0
G24000504101002,246,385000,2788.382114,52.44308943,1.756097561,2.25203252,0.556779143,0.711392201,0.668634024,0.497766139,86122.95682,0.013270873,0.020952589
G24000504101003,724,495000,3710.631215,36.10082873,1.871546961,2.991712707,0.814929591,0.81138321,0.613501887,0.794193967,68188.95227,0.009032064,0.014260186
G24000504101004,729,386000,2897.559671,44.75720165,1.741426612,2.561042524,0.587339471,0.758418722,0.675640044,0.621602313,51892.90848,0,0
G24000504102001,595,372319,2873.403361,39.14453782,1.767226891,2.505882353,0.580577782,0.792760111,0.663319283,0.5994968,40734.34779,0,0
G24000504102002,696,363750,3310.192529,37.6408046,1.797413793,2.787356322,0.702841191,0.801960784,0.648903717,0.712297871,-20679.58402,0,0
G24000504102003,497,382500,3156.277666,42.21327968,1.700201207,2.762575453,0.659758264,0.773983847,0.695326978,0.702366905,9969.771302,0,0
G24000504111011,616,289000,2892.707792,42.54220779,1.695616883,2.363636364,0.585981362,0.771971283,0.697516193,0.542491529,-37044.77824,0.000502391,0.000793195
G24000504111021,265,265237,2568.445283,49.68301887,1.426415094,2.105660377,0.495215742,0.728279842,0.826071821,0.439107306,-28924.01144,0,0
G24000504111022,175,2.00E+05,1967.548571,63.54285714,1.525714286,1.628571429,0.327016331,0.64347767,0.778652114,0.247913269,2209.699041,0,0
G24000504111023,346,268500,2545.265896,55.25722543,1.689306358,2.112716763,0.488727507,0.694173757,0.700529745,0.441935162,-3540.599864,0.000948935,0.001498216
G24000504112011,275,337000,2539.8,50.26909091,1.649090909,2.378181818,0.487197526,0.724693929,0.719734381,0.548320639,42470.91845,0.002215356,0.003497694
G24000504112012,206,340000,2510.281553,47.49514563,1.674757282,2.22815534,0.478934899,0.741666464,0.707477565,0.488197327,56583.44728,0,0
G24000504112013,144,279250,2246.201389,50.875,1.565972222,2.027777778,0.40501516,0.720986641,0.759427189,0.407895749,26054.5736,0.00658346,0.010394231
G24000504112014,220,264500,2723.9,44.3,1.725,2.336363636,0.538729696,0.761216136,0.68348447,0.531561947,-42712.485,0,0
G24000504112021,538,375000,2610.373606,50.21189591,1.592007435,2.444237918,0.506952067,0.72504388,0.746994236,0.57479271,66987.0289,0,0
G24000504112022,339,350000,2705.044248,46.10619469,1.684365782,2.277286136,0.533451706,0.750164835,0.702889086,0.507886559,46949.75866,0.001100522,0.001737549
G24000504112023,241,265000,2178.93361,63.14937759,1.512448133,1.842323651,0.386185966,0.645885196,0.784987282,0.333574759,35372.71834,0.006703128,0.010583169
G24000504113021,1598,349075,2421.923655,23.59073842,1.87640801,2.211514393,0.454202285,0.887926876,0.611180523,0.481528445,67306.81445,0.005422943,0.008561961
G24000504113031,173,219900,1904.017341,35.65317919,1.742774566,1.959537572,0.309233049,0.814122178,0.674996337,0.380548395,-2100.479534,0,0
G24000504113032,461,222000,1721.496746,52.75921909,1.535791757,1.776572668,0.258142977,0.709457944,0.773839681,0.307224964,27327.38574,0,0
G24000504113033,501,180000,1493.101796,37.76646707,1.842315369,1.938123752,0.19421203,0.801191911,0.62746125,0.371966778,1045.78525,0,0
G24000504113034,317,215000,1656.413249,54.10725552,1.634069401,1.728706625,0.239925194,0.70120991,0.726907808,0.288042583,35797.91306,0,0
G24000504113061,307,181500,1688.918567,26.73615635,2.241042345,1.863192182,0.249023888,0.868681466,0.437051681,0.341937851,6793.335016,0,0
G24000504113062,1308,167250,1411.545872,37.00688073,1.941896024,1.714831804,0.171383383,0.805839482,0.579907132,0.28248223,14410.72601,0,0
G24000504113063,516,196900,1468.517442,35.10658915,1.834302326,1.934108527,0.187330524,0.817466519,0.631287829,0.370357671,17604.75153,0,0
G24000504113071,864,153580,1233.923611,37.63657407,2,1.581018519,0.121664423,0.801986669,0.552159943,0.228856376,27781.2567,0,0
G24000504113072,469,159500,1286.336887,34.7206823,2,1.509594883,0.136335634,0.819827711,0.552159943,0.200233258,31481.68517,0.140294057,0.221501901
G24000504113081,429,230000,2400.400932,29.74825175,1.884615385,2.079254079,0.448177773,0.850251797,0.607261143,0.428524946,-36359.03805,0,0
G24000504113082,413,2.00E+05,1541.48184,32.1622276,1.945520581,1.973365617,0.207754282,0.835481755,0.578176248,0.386090003,16747.90702,0,0
G24000504113083,601,205700,1702.439268,39.60565724,1.9359401,1.930116473,0.252808522,0.789938726,0.582751347,0.36875785,17210.27706,0,0
G24000504113091,723,272000,2375.625173,34.18533887,1.62724758,2.12724758,0.441242691,0.823103239,0.730165526,0.447758406,-7603.292767,0.000377385,0.000595831
G24000504113092,1268,250000,2110.395899,23.84621451,2.034700315,2.062302839,0.3670013,0.886363732,0.535589025,0.421731714,13146.83304,0,0
G24000504113093,1163,437575,3077.296647,18.18572657,1.961306965,2.592433362,0.63765037,0.920997735,0.570637559,0.634182233,79011.53692,0,0
G24000504114041,1149,189000,1764.720627,38.205396,1.878154917,1.907745866,0.270241947,0.798506301,0.610346299,0.3597928,-7916.89117,0,0
G24000504114042,298,170500,1514.993289,58.16778523,1.55033557,1.644295302,0.200339765,0.676365339,0.766894374,0.254214632,6289.180181,0,0
G24000504114061,513,254000,2272.021442,40.22222222,1.574074074,2,0.412242555,0.78616624,0.7555582,0.396763768,-7611.529951,0.003045229,0.00480793
G24000504114062,358,214500,1663.547486,49.23463687,1.585195531,1.768156425,0.241922167,0.731023292,0.750247218,0.303852143,25357.93376,0,0
G24000504114063,558,205000,1529.648746,34.78853047,1.812724014,1.88172043,0.204442033,0.819412578,0.641592416,0.349363071,22330.40642,0,0
G24000504114071,547,164900,1543.279707,61.77330896,1.686471664,1.451553931,0.20825753,0.654304746,0.701883435,0.176973269,21585.22354,0,0
G24000504114072,171,140000,1311.684211,45.8245614,1.830409357,1.502923977,0.143430705,0.751888024,0.633146892,0.197559884,8728.044437,0.090475293,0.142846032
G24000504114073,633,147000,1327.241706,38.45971564,1.963665087,1.524486572,0.147785466,0.796950232,0.569511453,0.206201123,15431.5601,0,0
G24000504114074,559,123000,1114.81932,44.55813953,2,1.107334526,0.088325463,0.759636695,0.552159943,0.03902688,41957.42121,0.008677831,0.013700909
G24000504114075,237,132900,1204.527426,34.78481013,2,1.400843882,0.113436019,0.819435341,0.552159943,0.156651149,18431.86208,0.204193936,0.322389601
G24000504114081,240,129395,1172.283333,39.90416667,2,1.354166667,0.104410446,0.78811228,0.552159943,0.137945192,24573.38084,0,0
G24000504114082,180,148500,1332.105556,47.33333333,1.819444444,1.511111111,0.149146926,0.742656521,0.638383117,0.200840889,15565.03425,0,0
G24000504114083,584,173000,1389.273973,31.34760274,1.95890411,1.952054795,0.165149167,0.840466081,0.571785028,0.377549662,3800.386991,0,0
G24000504114091,300,209543.5,1787.076667,33.51333333,1.963333333,1.906666667,0.276499716,0.827214941,0.56966988,0.359360309,12348.22588,0,0
G24000504114092,635,171000,1480.415748,35.71023622,1.925984252,1.631496063,0.190661027,0.813773071,0.5875057,0.24908532,15636.31526,0,0
