GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,perc_area_flood,N_perc_area_flood
G24000504204014,373,89900,1095.225201,63.91689008,2,1.163538874,0.082840795,0.641189129,0.552159943,0.061550848,22448.82121,0,0
G24000504204021,493,102000,1133.127789,64.87018256,1.747464503,1.332657201,0.09345026,0.635356357,0.672756687,0.129325244,6130.55393,0,0
G24000504204022,447,91080,1132.39821,67.75838926,1.840044743,1.237136465,0.093246041,0.617684708,0.628545574,0.091045181,9209.668317,0,0
G24000504205001,1010,83000,971.9653465,66.23168317,1.996534653,1.134653465,0.048338634,0.627025942,0.553814797,0.049974982,29145.3738,0,0
G24000504205002,681,110900,1198.254038,59.77092511,1.732745962,1.491923642,0.11168001,0.666556441,0.679785434,0.193151485,-5207.601898,0,0
G24000504206001,812,86050,1166.722906,68.90394089,1.834975369,1.399014778,0.102854004,0.610675588,0.630966421,0.155918133,-8097.011361,0,0
G24000504206002,489,79900,1026.993865,67.34560327,2,1.083844581,0.063741887,0.620210361,0.552159943,0.029613253,25762.94267,0,0
G24000504206003,423,85000,1103.134752,69.50591017,1.927895981,1.172576832,0.085054789,0.606992406,0.586592765,0.065172822,16358.35587,0,0
G24000504207011,772,109950,1151.281088,68.29404145,1.718264249,1.325129534,0.098531623,0.614407291,0.686701086,0.126308522,13986.57316,0,0
G24000504207021,844,115725,1250.291469,75.7464455,1.559834123,1.34478673,0.126246016,0.568809352,0.762358399,0.13418617,6567.752873,0,0
G24000504208001,456,89250,1069.015351,70.85964912,1.82127193,1.260964912,0.07550429,0.598709481,0.637510413,0.100594464,12450.1286,0,0
G24000504208002,399,116000,1325.827068,69.39097744,1.631578947,1.373433584,0.147389489,0.607695628,0.728097108,0.145666435,-1823.878857,0,0
G24000504208003,546,97400,1262.053114,74.71978022,1.636446886,1.435897436,0.129538265,0.575091059,0.725772454,0.170698907,-14483.71383,0,0
G24000504209001,594,94000,1397.710438,66.29292929,1.909090909,1.425925926,0.167510651,0.626651204,0.59557301,0.166702811,-18392.44304,0,0
G24000504209002,725,87000,1063.164138,96.36137931,1.97862069,1.28,0.073866454,0.442675761,0.562369499,0.108222801,39564.36099,0,0
G24000504209003,244,78750,1024.848361,100.0081967,2.00204918,1.18442623,0.063141331,0.42036251,0.55118137,0.069921484,44763.70029,0,0
G24000504210001,692,63000,1146.040462,92.6199422,1.918352601,1.291907514,0.097064698,0.465567947,0.591150147,0.112994753,1287.520823,0,0
