GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504014001,575,275000,1953.65913,62.7373913,1.764347826,1.900869565,0.051608301,0.361176465,0.648405956,0.661948243,-0.63529959,0.918518739,85987.7434
G24000504015031,416,275950,1739.329327,40.54567308,1.776442308,2.149038462,0,0.294118339,0.784187189,0.656125301,-0.533710931,1,64709.86532
G24000504015032,461,230000,1689.780911,60.36008677,1.585683297,1.737527115,0,0.278615951,0.662951623,0.747967081,-0.702164296,1,54685.62753
G24000504015033,461,196030,1518.069414,64.30368764,1.853579176,1.861171367,0.088549442,0.224891966,0.638822487,0.61898741,-0.651550163,0.860194578,42759.94184
G24000504015034,658,240000,1658.101824,71.75987842,2.058510638,1.962006079,0.008607167,0.268704402,0.593201379,0.520322239,-0.61027318,0.986410659,87949.07844
G24000504015035,573,215000,1557.120419,53.06631763,1.610820244,1.837696335,0,0.237109992,0.707578945,0.735864785,-0.661159735,1,36325.70934
G24000504015041,651,225000,1872.969278,41.359447,1.671274962,2.165898618,0,0.335930745,0.779208069,0.706758591,-0.526809177,1,-882.4412434
G24000504015042,439,221472,1836.610478,48.90432802,1.562642369,2.248291572,0,0.324555038,0.733044305,0.759060239,-0.493081382,1,-8398.746799
G24000504015043,721,189000,1616.332871,38.7073509,1.979195562,2.097087379,0,0.255636002,0.795435063,0.558508838,-0.554977258,1,-865.463433
G24000504015051,316,157250,1462.639241,52.62658228,1.503164557,1.655063291,0,0.207549331,0.71026949,0.787696098,-0.735921102,1,-9822.723849
G24000504015052,521,150000,1380.257198,48.42610365,1.607485605,1.763915547,0,0.181774169,0.735970346,0.737470263,-0.691362115,1,-16919.64723
G24000504015053,356,175000,1422.668539,53.59269663,1.313202247,1.764044944,0,0.195043556,0.704358267,0.879154304,-0.691309146,1,-7669.823128
G24000504015061,218,234065,1566.844037,28.26146789,2.082568807,1.995412844,0,0.240152255,0.859348765,0.508739325,-0.596598024,1,52019.99648
G24000504015062,1168,152812.5,1262.514555,26.16181507,2.001712329,1.999143836,0,0.14493561,0.872195604,0.547668039,-0.595070732,1,-17843.55312
G24000504015063,1258,135412.5,1235.061208,28.37599364,2.013513514,1.83227345,0,0.136346184,0.858648033,0.541986306,-0.663379609,1,-19593.08111
G24000504015071,468,119000,1374.782051,47.26495726,1.78525641,1.728632479,0.011914784,0.18006114,0.743074884,0.651881711,-0.705805341,0.981188459,-35399.49711
G24000504015072,443,117900,1645.37246,54.2731377,1.426636569,1.55530474,0,0.264721721,0.700194951,0.824540841,-0.776757555,1,-56294.94845
G24000504015073,42,116350,1540.928571,51.5,1.404761905,1.452380952,0,0.232043991,0.717162545,0.835072496,-0.818889706,1,-47981.58569
G24000504022011,833,244917,2312.085234,48.85354142,1.648859544,2.096038415,0,0.473318512,0.733355045,0.717550594,-0.555406654,1,2422.806477
G24000504022012,325,223000,2107.867692,52.97230769,1.523076923,1.950769231,0,0.409424245,0.70815415,0.778109201,-0.614873017,1,-1438.451191
G24000504022021,617,264900,2666.86872,38.92058347,1.749594814,2.25445705,0.00656957,0.584320879,0.794130388,0.669051147,-0.490557526,0.989627698,-11446.48285
G24000504023021,781,214190,2020.183099,38.02048656,1.795774648,2.169014085,0,0.381990055,0.799637679,0.646817659,-0.525533852,1,-15961.2537
G24000504023022,689,153680,1796.896952,48.68795356,1.53701016,1.984034833,0,0.312129726,0.734368204,0.771400981,-0.601255646,1,-57176.19468
G24000504023031,118,132450,1284.245763,46.66101695,1.826271186,1.483050847,0,0.15173473,0.746770125,0.632134964,-0.806334896,1,2187.684225
G24000504023032,368,134500,1273.807065,56.00543478,1.383152174,1.660326087,0,0.148468738,0.689595797,0.845476598,-0.733766761,1,-26119.99722
G24000504023033,663,131213,1561.419306,36.77073906,1.953242836,2,0,0.238455,0.807284327,0.571003894,-0.594720258,1,-51712.6181
G24000504023034,534,123029,1369.529963,63.07490637,1.513108614,1.698501873,0,0.178417901,0.646340852,0.782908488,-0.718139393,1,-32695.44713
G24000504023035,466,135000,1570.199571,53.527897,1.532188841,1.845493562,0,0.241202113,0.704754747,0.773722227,-0.657967917,1,-49250.72457
G24000504023041,285,127900,1405.652632,59.12631579,1.480701754,1.378947368,0,0.189719728,0.670500518,0.798510915,-0.848949957,1,-12819.56315
